,Name,League,reference,ISO,Spd,wRC+,OBP,wOBA,Score,ISO_Percentile,Spd_Percentile,wRC+_Percentile,OBP_Percentile,wOBA_Percentile
35,Otto Lopez,MLB,,0.106699751,5.504352347009584,90.59459499239875,0.313225058,0.3024209791712307,0.9912967699463693,9.9601593625498,74.10358565737052,26.693227091633464,45.0199203187251,33.067729083665334
36,Josue De Paula,MiLB,Steven Kwan,0.137662338,6.648075314317362,130.3050325878217,0.404166666,0.3876122748926437,,29.880478087649404,90.83665338645417,87.25099601593625,99.20318725099602,96.01593625498009
37,Steven Kwan,MLB,,0.133333334,5.102867599411571,130.84328170592786,0.368029739,0.3494486094185854,0.9223138948736906,27.091633466135455,67.72908366533864,88.04780876494024,93.62549800796812,86.85258964143426
38,Dalton Rushing,MiLB,Bryce Harper,0.24047619,2.4206422728137094,141.87155073839165,0.384462151,0.4009228564070132,,93.62549800796812,15.53784860557769,94.82071713147411,96.81274900398407,98.00796812749005
39,Bryce Harper,MLB,,0.24,2.767145354128121,144.98917770401317,0.373015873,0.380217063407713,0.9876727088491231,93.62549800796812,20.717131474103585,95.2191235059761,94.82071713147411,95.2191235059761
40,Jacob Melton,MiLB,Brenton Doyle,0.17293233,6.974387835762324,94.80716404876571,0.309633027,0.3299791814263808,,61.354581673306775,93.62549800796812,33.86454183266932,40.23904382470119,68.92430278884463
41,Brenton Doyle,MLB,,0.186346863,6.862344664422878,97.31541457559824,0.317195325,0.3279812993811923,0.9705416075261865,68.92430278884463,93.22709163346613,38.24701195219124,50.59760956175299,66.53386454183267
42,Ryan Clifford,MiLB,Willson Contreras,0.193103449,2.49569413308708,130.67277175795655,0.372222222,0.366949082974837,,71.71314741035857,16.334661354581673,87.25099601593625,94.42231075697211,94.02390438247012
43,Willson Contreras,MLB,,0.205980067,3.254535693211778,140.29278734957884,0.379888268,0.3701828075258919,0.9667695339923826,81.27490039840637,30.677290836653388,93.22709163346613,96.01593625498009,94.42231075697211
44,Cam Collier,MiLB,Marcell Ozuna,0.194379391,3.099162907921737,129.20540229463734,0.355029585,0.3701343402089809,,73.70517928286853,27.88844621513944,85.65737051792829,88.84462151394422,94.02390438247012
45,Marcell Ozuna,MLB,,0.244224422,1.7297226310352216,154.00063286835456,0.378457059,0.3945021333485624,0.9818236147654432,94.82071713147411,7.171314741035857,96.41434262948208,95.61752988047809,97.60956175298804
46,Roman Anthony,MiLB,Seiya Suzuki,0.207048458,6.266809413955196,148.7194830831064,0.396296296,0.4013909818292994,,82.07171314741036,85.65737051792829,95.2191235059761,99.20318725099602,98.00796812749005
47,Seiya Suzuki,MLB,,0.19921875,5.779004159086576,137.79655534262386,0.365811965,0.364872846918827,0.9870812030107525,76.49402390438247,78.08764940239044,92.43027888446214,93.22709163346613,92.43027888446214
48,Termarr Johnson,MiLB,Steven Kwan,0.148984198,5.464963836905938,120.55572464104738,0.366482504,0.3545415376165256,,39.44223107569721,73.30677290836654,80.47808764940238,93.22709163346613,87.25099601593625
49,Steven Kwan,MLB,,0.133333334,5.102867599411571,130.84328170592786,0.368029739,0.3494486094185854,0.9455163059248838,27.091633466135455,67.72908366533864,88.04780876494024,93.62549800796812,86.85258964143426
50,Justin Crawford,MiLB,Jake McCarthy,0.131291028,7.605638046904837,130.14411374980585,0.360323886,0.3680027231031101,,25.49800796812749,96.41434262948208,87.25099601593625,90.83665338645417,94.02390438247012
51,Jake McCarthy,MLB,,0.115384615,7.544205364211624,109.63283087810512,0.348979591,0.3292398854998723,0.8299853418572084,15.53784860557769,96.41434262948208,62.54980079681275,86.45418326693228,67.72908366533864
52,Cole Young,MiLB,Steven Kwan,0.119402985,4.926159211746805,118.79571854459948,0.368613138,0.3549204225087688,,17.52988047808765,64.14342629482071,77.68924302788844,93.62549800796812,87.25099601593625
53,Steven Kwan,MLB,,0.133333334,5.102867599411571,130.84328170592786,0.368029739,0.3494486094185854,0.9425205228708607,27.091633466135455,67.72908366533864,88.04780876494024,93.62549800796812,86.85258964143426
54,Xavier Isaac,MiLB,Bobby Witt Jr.,0.215258855,5.909862518617574,143.36580374136,0.370114942,0.3882518128417004,,85.65737051792829,79.6812749003984,94.82071713147411,93.62549800796812,96.01593625498009
55,Bobby Witt Jr.,MLB,,0.256289308,7.2023241576855455,167.5403466440698,0.389280677,0.4097383537462779,0.9912773206321195,96.41434262948208,95.61752988047809,98.40637450199203,97.60956175298804,98.80478087649402
56,Alex Freeland,MiLB,Mookie Betts,0.181459566,6.939349415442767,131.91219727401472,0.386991869,0.3829236158510534,,65.73705179282868,93.22709163346613,88.84462151394422,96.81274900398407,95.61752988047809
57,Mookie Betts,MLB,,0.202222223,6.294592030484924,141.05249143299704,0.372093023,0.3709689515573969,0.9545587281444479,78.48605577689243,86.45418326693228,94.02390438247012,94.02390438247012,94.82071713147411
58,Druw Jones,MiLB,Steven Kwan,0.129629629,7.258148151265747,124.99161026566172,0.408510638,0.3937036933929427,,25.099601593625497,95.61752988047809,83.66533864541833,99.20318725099602,97.21115537848605
59,Steven Kwan,MLB,,0.133333334,5.102867599411571,130.84328170592786,0.368029739,0.3494486094185854,0.8896370889718094,27.091633466135455,67.72908366533864,88.04780876494024,93.62549800796812,86.85258964143426
60,Ethan Salas,MiLB,Manuel Margot,0.104368932,4.670944570640697,75.00705721131857,0.287846481,0.2853462053006138,,8.366533864541832,58.964143426294825,5.179282868525896,15.53784860557769,17.131474103585656
61,Manuel Margot,MLB,,0.098412698,4.775061313393214,78.78531965332579,0.289473684,0.2762483206757328,0.9923043085740414,5.577689243027888,61.354581673306775,7.968127490039841,17.928286852589643,6.772908366533864
62,Sebastian Walcott,MiLB,Jarren Duran,0.186403508,7.441974855353145,125.06854086927302,0.34368932,0.3620402238944161,,68.92430278884463,96.01593625498009,83.66533864541833,83.26693227091634,90.43824701195219
63,Jarren Duran,MLB,,0.207153502,7.982662395677068,129.02292667113866,0.341961852,0.3568673902286514,0.9798259898986388,82.47011952191235,97.21115537848605,85.65737051792829,82.47011952191235,88.84462151394422
64,Franklin Arias,MiLB,Mookie Betts,0.178343949,7.12489921420914,150.0216286649832,0.40860215,0.4267613439149754,,63.745019920318725,94.02390438247012,95.2191235059761,99.20318725099602,99.20318725099602
65,Mookie Betts,MLB,,0.202222223,6.294592030484924,141.05249143299704,0.372093023,0.3709689515573969,0.948446651055803,78.48605577689243,86.45418326693228,94.02390438247012,94.02390438247012,94.82071713147411
66,Aidan Miller,MiLB,Trea Turner,0.184810127,7.4232133914603535,133.00138991749736,0.365800865,0.3791283882541574,,66.93227091633466,96.01593625498009,89.2430278884462,92.82868525896414,94.82071713147411
67,Trea Turner,MLB,,0.174257426,5.2825283821312405,124.02274788085492,0.337662337,0.3490665514084315,0.9495750845751392,61.75298804780876,69.7211155378486,83.66533864541833,78.88446215139442,86.45418326693228
68,Luke Keaschall,MiLB,William Contreras,0.179419525,5.686985189221611,158.44544144441107,0.42025862,0.4164363547483736,,64.9402390438247,76.09561752988047,97.21115537848605,99.60159362549801,98.80478087649402
69,William Contreras,MLB,,0.18487395,4.415599497166965,130.742438133437,0.365243004,0.3587271837346278,0.9666447381393518,67.52988047808765,53.38645418326693,87.64940239043824,92.43027888446214,89.2430278884462
70,Matt Shaw,MiLB,Mookie Betts,0.203160271,6.43118707516267,146.45063132602465,0.379310344,0.3935404713354805,,78.48605577689243,89.2430278884462,95.2191235059761,95.61752988047809,97.21115537848605
71,Mookie Betts,MLB,,0.202222223,6.294592030484924,141.05249143299704,0.372093023,0.3709689515573969,0.9913026630846327,78.48605577689243,86.45418326693228,94.02390438247012,94.02390438247012,94.82071713147411
72,Max Clark,MiLB,Trea Turner,0.142857143,7.849075973726232,128.9823947265383,0.372188139,0.3759881598783321,,34.26294820717131,96.41434262948208,85.2589641434263,94.02390438247012,94.82071713147411
73,Trea Turner,MLB,,0.174257426,5.2825283821312405,124.02274788085492,0.337662337,0.3490665514084315,0.848980863790344,61.75298804780876,69.7211155378486,83.66533864541833,78.88446215139442,86.45418326693228
